id,title,descriptions,location,OPERATING_HOURS,ENTRANCE_FEE,PARKING,IMAGE
11,교촌마을,"중요민속자료 제27호인 경주최씨고택과 중요무형문화재 제86-다호인 경주교동법주가 자리잡고 있는 교촌마을은 12대 동안 만석지기 재산을 지켰고 학문에도 힘써 9대에 걸쳐 진사(進士)를 배출한 경주 최부자의 얼이 서린 곳이다.

특히 최부자집에서 가훈처럼 내려온 원칙인 “벼슬은 진사 이상은 하지 말라, 재산은 만석 이상 모으지 말라, 과객(過客)을 후하게 대접하라, 흉년에는 남의 논밭을 매입하지 말라, 최씨 가문 며느리들은 시집온 후 3년 동안 무명옷을 입어라, 사방 백리 안에 굶어 죽는 사람이 없게 하라”는 진정한 노블레스 오블리주란 어떤 것인가를 생각하게 한다.

이 곳에는 원효대사와의 사이에 설총을 낳은 신라 요석공주가 살던 요석궁이 자리하고 있었다고 전해지며, 부근에 신라의 시조인 박혁거세의 탄생설화가 서려 있는 계림과 내물왕릉, 경주향교, 김유신 장군이 살았던 재매정이 있다.

교촌마을에는 다양한 체험장이 들어서 있다. 토기체험, 떡메치기체험, 전통다도체험, 한복체험, 전통장류체험, 제면체험, 누비체험 등 이색체험거리가 즐비하다. 체험장별로 운영시간과 체험비용이 상이하니 교촌마을 공식 홈페이지에서 체험장 정보를 확인 후 사전 문의 후 방문을 권한다.",경상북도 경주시 교촌길 39-2 (교동),정해진 관람시간 없음,무료,"교촌마을 주변 노상주차장(교촌길 2, 유료), 월정교 공영 주차장(교동 153-5, 무료) 이용",tourist_images/교촌마을.jpg
12,기림사,"전용주차장(유료, 승용 1,000/승합 2,000/대형 3,000원) 이용",경주시 문무대왕면 기림로 437-17,09:00-18:00(동절기 17:00까지),무료,"전용주차장(유료, 승용 1,000/승합 2,000/대형 3,000원) 이용",tourist_images/기림사.jpg
13,남산 불곡 마애여래좌상 (부처골 감실여래좌상),"경주 사람들은 이 불상을 감실 할매부처라 부른다.
시골 할머니를 연상시키는 푸근한 인상이 매력적인 불상이라 그렇다.
동남산 기슭의 우뚝 솟은 바위에 깊이가 1m나 되는 감실을 파고 안에 여래좌상을 모셨다.
머리에 두건을 쓴 듯 보이고, 미소를 머금은 채 약간 숙여진 얼굴은 중생을 굽어 살피는 듯하다.
전체적으로 자세가 아름답고 여성스러운 미를 뽐낸다.
양 어깨에 걸쳐 입은 옷은 아래로 길게 흘러 내려 불상의 대좌까지 덮고 있는데 옷자락을 생생하게 표현한 조각 솜씨를 엿볼 수 있다.
이 불상은 경주 남산에 남아 있는 신라 석불 가운데 가장 오래된 것이다.
7세기경의 작품으로 보이며 이 불상의 존재로 인해 골짜기 이름을 불곡이라 부르게 되었다.",경주시 인왕동 산56번지,정해진 시간 없음,무료,,tourist_images/남산_불곡_마애여래좌상_부처골_감실여래좌상.jpg
14,노서동 고분군,"노서동 고분군은 월성을 중심으로 북쪽 일대에 분포하는 많은 신라 고분 중 서북쪽 끝에 위치해 있다.

노서동 고분군에는 노동동의 봉황대 고분과 더불어 그 규모에서 쌍벽을 이루는 서봉황대 고분을 비롯하여 1921년에 우연히 금관이 출토되어 세상 사람들을 놀라게 한 금관총, 1926년에 스웨덴의 황태자 구스타브 아돌프 6세가 발굴조사에 참여하였던 서봉총, 1946년 고구려 광개토대왕의 이름이 새겨진 청동그릇이 발견되어 신라 고분에 대한 연대 추정에 도움을 준 호우총과 함께 쌍상총, 마총 등이 남아있다. 

발굴, 조사된 고분들은 대부분 돌무지덧널무덤이나 쌍상총과 마총 같은 돌방무덤도 확인되었다.
1984년에 신라 고분 정비,보존사업의 일환으로 민가를 철거하여 지금의 모습으로 정비하였다.

노서동 고분군은 잘 가꾸어진 산책로와 숲, 벤치 등 편의시설 여건이 좋아 피크닉 장소로도 사랑받는다.",경상북도 경주시 노서동 104,노서동 고분군,무료,"원효로 노상 주차장(원효로89, 유료) 이용",tourist_images/노서동_고분군.jpg
15,독락당,"자연과 벗 되었기에 홀로 있어도 외롭지 않은 집, 독락당은 회재 이언적 선생이 낙향하여 7년 간 기거한 곳이다.
가옥의 사랑채를 독락당, 또는 옥산정사라 부른다.

옥산정사라는 현판은 퇴계이황의 글씨, 독락당 현판은 아계 이산해의 글씨이다.
독락당의 포인트 하나, 독락당에 딸려 있는 별당 정자인 ‘계정’이다.
이곳에서 내려다보이는 계곡의 풍광이 한 폭의 한국화를 보는 듯하다.

또 하나의 포인트, 독락당과 계곡 사이의 담장에 살창을 설치한 모습이다.
독락당에 앉아서도 계곡의 풍경을 오롯이 감상할 수 있도록 했다.
바깥 경치를 집안으로 끌어온 선조의 지혜가 엿보인다.

독락당에서는 고택스테이가 가능하다.
이곳에서 하룻밤 머물며 자연을 벗 삼아 깊이 있는 휴식을 취해 보자.",경상북도 경주시 안강읍 옥산서원길 300-3,정해진 시간 없음,무료,,tourist_images/독락당.jpg
16,동궁과 월지,"경주야경 제 1의 명소라는 타이틀이 아깝지 않은 동궁과월지는 ‘안압지’라는 이름이 더 익숙할 수도 있다.
조선시대 폐허가 된 이곳에 기러기와 오리 무리가 있는 연못이라 하여 ‘안압지’라 불렀는데, 원래 이곳은 신라시대 왕자들이 기거하던 별궁이 있던 자리다.
그래서 2011년 ‘동궁과 월지’라는 제 이름을 찾았다.

삼국사기의 기록을 보면 문무왕 14년(674)에 연못인 ‘월지’가 조성되었고, 삼국통일이 완성된 이후인 679년에 ‘동궁’이 지어졌다고 전한다. 동궁내의 ‘임해전’은 연희, 회의, 접대 장소로 활용되었다.

동궁과 월지는 신라 조경예술의 극치를 보여준다.
동서 길이 200m, 남북 길이 180m인 월지는 남서쪽의 둘레는 직선인데 반해 북동쪽은 구불구불한 곡선으로 되어 있다.
이 때문에 어느 곳에서도 못의 전체 모습을 한 눈에 볼 수 없어 끝을 알 수 없는 바다와 같은 느낌이 들게 했다.
연희장소로 쓰인 ‘임해전(臨海殿)’은 바다를 내려다보는 전각이라는 뜻으로 연못 월지의 조경이 바다를 표현했다는 것을 에둘러 짐작할 수 있다.",경북 경주시 원화로 102,"09:00 - 22:00(매표 마감 21:30), 연중무휴","성인 3,000원 / 청소년 2,000원 /어린이 1,000원","동궁과월지 주차장(인왕동 504-1, 무료) 이용",tourist_images/동궁과_월지.jpg
17,동대봉산 무장봉(억새군락지),"동대봉산 무장봉은 정상부의 44만평 규모 초원에 조성된 억새군락이 있어 가을철 명소로 유명한 곳이다.
이 곳이 처음부터 억새군락지였던 것은 아니다. 
1970년대 초부터 1990년대 중반까지 이 일대에 오리온 목장이 운영되고 있었는데 목장이 문을 닫으면서 목초지에 억새가 자생하기 시작했다. 
이후 드라마 '선덕여왕', 영화 '태극기 휘날리며' 등의 촬영지로 알려지면서 더욱 유명세를 타게 됐다. 

해발고도 624미터의 무장봉 정상으로 오르는 코스는 여럿이지만, 암곡 탐방안내소에서 계곡을 따라 오르는 등산로를 가장 많이 이용하며 남녀노소 모두 어렵지 않게 탐방할 수 있는 코스이다. 

탐방안내소에서 정상까지 왕복 약 8.5km, 등산 소요시간은 약 3시간 30분 내외이며 반나절 코스로 다녀올만 한다. 
코스 중간에 신라 삼국통일의 위업을 달성한 문무왕이 무기를 묻었다고 전하는 무장사의 터가 있다.
이 곳에서 보물 제125호 경주 무장사지 아미타불 조상 사적비와 보물 제126호 경주 무장사지 삼층석탑을 만날 수 있다.",경상북도 경주시 보덕로 478-1 (암곡동),,,"무장사지제1공용주차장(암곡동 1395-4, 무료), 무장사지제2공용주차장(암곡동 산61-6, 무료) 이용",tourist_images/동대봉산_무장봉억새군락지.jpg
18,동리목월문학관,"우리나라를 대표하는 문인 김동리 소설가와 박목월 시인을 주제로 한 전시관으로 불국사 인근에 자리해있다.  
지난 2006년 건립되었으며, ‘동리관’과 ‘목월관’이 있는 본관, 그리고 ‘신라를 빛낸 인물관’이 있는 별관으로 구성된다.

한국문단의 거장 김동리 선생은 경주가 고향이다.
‘무녀도’와 ‘등신불’, ‘을화’ 등 걸출한 그의 작품 속에서 경주를 만날 수 있다.
선생은 무녀도를 개작하여 만든 장편 소설 ‘을화’로 노벨문학상에 노미네이트되기도 했다.

김동리 선생과 함께 또 한명의 경주 출신 문학가가 있다.
청록파 시인의 대표주자인 박목월 선생이다.
그는 자연의 아름다움을 노래하고, 생명의 원천을 궁리하는 아름다운 작품들을 남겼다.

전시관에는 두 선생이 생전 작품 활동을 했던 서재를 재현하였고, 그들의 작품 세계를 알찬 전시콘텐츠로 소개하고 있다.",경상북도 경주시 불국로 406-3 (진현동),09:00-18:00(동절기 17:00까지),무료,전용 주차장 이용,tourist_images/동리목월문학관.jpg
19,무열왕릉,"신분의 불리함을 극복하고 최초의 진골 출신 왕이 되었던 김춘추, 신라 왕실에서 유일하게 묘호와 시호를 함께 가진 태종 무열왕이다.
김유신과 함께 삼국통일의 기반을 다진 왕. 김유신은 떡잎부터 그를 알아보고 김춘추의 킹메이커가 되기로 결심했다.
모든 것은 계획대로, 김유신의 김춘추 사로잡기 프로젝트가 시작된다.
어느 날 김유신은 김춘추와 함께 축국(현재의 축구) 시합을 하다가 실수를 가장한 고의로 춘추의 옷고름을 밟아 떨어지게 했다.
옷을 수선해주겠다며 집으로 초대한 유신은 두 누이에게 김춘추의 옷을 고쳐달라고 하는데, 언니 보희를 대신해 문희가 그의 옷을 집어 들었다.
이것을 인연으로 문희는 김춘추의 아이를 갖게 된다.
김춘추가 문희와의 결혼을 주저하자, 김유신은 아비 없는 아이를 가졌다는 이유로 동생을 화형에 처하겠다며 소동을 벌였다.
깜짝 놀라 달려온 김춘추는 아이의 아버지임을 고백하고 문희와 결혼하였다. 사돈 지간이 된 두 남자, 일적으로도 사적으로도 끈끈한 사이가 되었다.

태종 무열왕의 능은 주인이 확실한 왕릉 중 한 곳이다. 왕릉과 멀지 않은 곳에 비석을 세웠던 돌 거북(귀부)과 비석 위에 올리는 머릿돌(이수)이 남아 있다.
이 머릿돌에 ‘태종무열대왕지비(太宗武烈大王之碑)’라는 글씨가 새겨져 있어 이곳이 무열왕의 능임을 알 수 있었다.
무열왕릉 영역 안에는 왕릉 뒤편으로 ‘서악동고분군‘으로 부르는 거대한 고분4기가 일렬종대로 늘어서 있다.
무열왕릉부터 서악동고분군까지 거닐기 좋게 산책로를 잘 가꾸어 놓았으니 여유롭게 거닐어 보자.",경주시 서악동 842,3월-10월 09:00-18:00 / 11월-2월 09:00-17:00,"성인 2,000원 / 군인·청소년 : 1,000원 / 어린이 500원",,tourist_images/무열왕릉.jpg
20,보리사,"화랑교를 넘어 탑골 입구에서 약 400m 남으로 가면 갯마을이 있다.
옛날에 나룻배가 닿던 곳이라 한다.
지금은 임업시험장이 있어 온 동네가 푸른데, 이 뒤쪽 계곡이 미륵골이다.
대밭 옆길로 난 산등성이를 따라 올라가면 정상 가까운 아늑한 곳에 비구니들이 수도하는 보리사가 있다.

근래에 새로 세운 대웅전과 산신각 및 종각이 있는데, 이 건물들은 지금 남산에 현존하는 가람중에서 제일 규모가 큰 것이다.
삼국사기에 의하면 신라 49대 헌강왕의 능과 50대 정강왕의 능이 보리사 동남쪽에 있다고 했는데, 이 절은 두 왕릉의 북서쪽에 위치하고 있으므로 옛날 신라시대부터 보리사라 불리워 왔음을 알 수 있다.

이 절에는 통일신라시대 후반의 석불을 대표하는 유명한 석조여래좌상이 있으며, 보리사 앞에서 남쪽으로 오솔길을 따라 산비탈로 35m쯤 가면 경사가 급한 산허리에 마애불이 있다.

-보리사 마애석불
경상북도 경주시 배반동 동쪽을 향한 높이 2m의 바위벽에 새긴 마애불이다. 바위벽을 얕게 파 높이 1.5m의 공간을 만들고 그 안에 약 0.9m 정도의 작은 부처를 도드라지게 새겼다.

양쪽 뺨 가득히 자비 넘치는 미소를 간직하고 앉아 있는 불상은 전체적으로 조각수법이 거친 편이다.
특히 위에서 아래로 내려갈수록 선을 그은 것처럼 얕게 새겨 매우 독특한 조각수법을 나타낸다.
보리사의 석불좌상보다 후대에 만든 것으로 여겨지는데, 통일신라 후기에 만들어진 불상으로 추정된다.

불상의 높이는 1.1m에 지나지 않으나 발아래에는 급경사로 되어 있어 전체적으로 볼 때 하늘에 떠 있는 느낌을 갖도록 하고 있다.
멀리 선덕여왕이 잠들어 있는 낭산이 남북으로 길게 누워 있고, 사천왕사,망덕사,황룡사도 한 눈에 들어온다.",경상북도 경주시 갯마을길 41-30,,,,tourist_images/보리사.jpg
21,보문관광단지,"경주 보문관광단지는 우리나라 관광의 시작을 알리는 신호탄이었다.
먹고 사는 문제가 중요했던 그 시절을 넘어 문화와 여가에 눈을 돌리게 된 출발점.

1970년대 ‘관광’에 주목하면서 경주종합개발계획사업이 수립된 이래, 북군동, 신평동, 천군동을 아우르는 240만여 평의 면적에 종합 관광휴양지 ‘보문관광단지’가 조성되었다.

거대 인공호수인 보문호를 중심으로 그 둘레를 따라 특급호텔, 콘도, 컨벤션센터, 레저 및 휴양시설, 테마 관광시설이 속속 들어섰다.

또, 보문관광단지의 대부분의 가로수는 벚나무로 식재되어 있어 봄이면 만개한 벚꽃 흩날리는 진풍경을 감상할 수 있다.
보문관광단지를 빼놓고 경주 관광을 논할 수 없을 정도로 이곳은 경주의 사계절 필수 여행코스로 손꼽힌다.",경북 경주시 신평동 375,,,,tourist_images/보문관광단지.jpg
22,보문정,"보문정은 CNN에서 '한국의 비경'으로 소개된 적이 있을 정도로 아름다운 풍광을 자랑한다.
팔각 정자와 2개의 연못 주위로 벚나무, 단풍나무 등이 식재되어 어느 계절 하나 빼놓지 않고 풍경을 감상해야 할 곳이다.

봄이면 보문정 주변을 수놓는 새하얀 벚꽃들로 빼어난 경치를 선사한다. 특히, 수양버드나무처럼 꽃가지가 축 늘어진 수양벚꽃을 볼 수 있어 인기가 좋다.
여름이면 보문정 앞 연못에 수련이 그득 피어나 절경을 더한다.
단풍 물드는 가을은 화려하고,운좋게 설경을 만난다면 겨울의 보문정도 꼭 담아야 한다.
어느 계절이건 아름다운 덕에 이곳은 사진작가들이 사랑하는 장소로도 손꼽힌다.",경주시 신평동 150-1,정해진 이용시간 없음,무료,"보문관광단지 1주차장(신평동 375-5, 무료), 농협경주교육원 남문 건너편 주차공간 있음",tourist_images/보문정_sNLLGH3.jpg
23,보문호반길,"보문호 둘레를 한 바퀴 돌아볼 수 있는 산책로, ‘보문호반길’을 거닐어 보자. 
약 8km의 구간으로 한 바퀴 모두 둘러보는 데 넉넉하게 2시간 정도가 소요된다.

곳곳에 물너울공원, 사랑공원 등의 소규모 공원과 물너울교, 호반1교와 같은 호수 위 다리, 피크닉테이블, 벤치 등의 편의 시설이 잘 조성되어 있다.
일주해도 좋고, 적당한 구간을 선택해서 일부만 걸으며 보문호반의 호젓한 산책을 즐겨도 좋다. 보통 호텔과 콘도·리조트가 모여 있는 보문호수상공연장 – 경주월드 인근의 호반1교까지의 구간을 가장 많이 걷는다.

산책로는 자전거, ATV등의 통행이 금지되기 때문에 안전하게 여유로운 산책을 즐길 수 있다. 

보문호반길은 봄철 벚꽃 명소로 유명하다. 호반 둘레를 수놓는 아름드리 벚나무들이 흐드러져 장관을 연출한다.",경북 경주시 신평동 719-203,,,"보문관광단지 주차장(신평동 375, 무료), 공용주차장(신평동 719-219, 무료), 보문관광단지 제1주차장(신평동 375-5, 무료)",tourist_images/보문호반길.jpg
